2026-09-24T13:19:26Z INFO Logging to /tmp/logs/update_2026-09-24T13-19-26Z.log.
2026-09-24T13:19:26Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-24T13:19:26Z INFO Processing 500 items (53984 already recorded).
2026-09-24T13:20:20Z INFO [35/500] 107be61a-e96e-4030-ab88-5a5700d1211c: cophenetic index 42755; 9.9 s; peak memory 114 MiB.
2026-09-24T13:20:21Z INFO [36/500] 107d8c59-a8cf-41c7-b6f7-ab0507a80977: cophenetic index 665; 0.6 s; peak memory 114 MiB.
2026-09-24T13:20:22Z INFO [37/500] 107e23f8-679a-43f8-8d05-b868f6dc0b8a: cophenetic index 2469; 1.5 s; peak memory 114 MiB.
2026-09-24T13:20:23Z INFO [38/500] 107e71e7-a57a-4c16-ad68-3d02bb243800: cophenetic index 1087; 0.9 s; peak memory 114 MiB.
2026-09-24T13:20:24Z INFO [39/500] 107ed871-8dcc-47a1-a139-4f11dc432bb8: cophenetic index 624; 0.7 s; peak memory 114 MiB.
2026-09-24T13:20:24Z INFO [40/500] 107f286c-4cbb-4fd5-8bab-c6c36bd8a01a: cophenetic index 490; 0.3 s; peak memory 114 MiB.
2026-09-24T13:20:32Z INFO [41/500] 107ff394-0d1f-4773-98b1-e068b053033f: cophenetic index 229456; 7.4 s; peak memory 114 MiB.
2026-09-24T13:20:33Z INFO [42/500] 1081dc00-f182-4862-98f6-bc21894fd0a1: cophenetic index 102768; 1.2 s; peak memory 114 MiB.
2026-09-24T13:20:34Z INFO [43/500] 1082468e-861c-4f74-b4f6-28f6d16a2a8b: cophenetic index 3004; 0.7 s; peak memory 114 MiB.
2026-09-24T13:20:35Z INFO [44/500] 1082e055-4b5b-4085-8997-9b7869860a94: cophenetic index 2402; 1.7 s; peak memory 114 MiB.
2026-09-24T13:20:36Z INFO [45/500] 10837b5e-05ee-4b2f-93aa-516f4e467c91: cophenetic index 624; 0.6 s; peak memory 114 MiB.
