2026-09-23T13:24:58Z INFO Logging to /tmp/logs/update_2026-09-23T13-24-58Z.log.
2026-09-23T13:24:58Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-23T13:24:58Z INFO Processing 500 items (52992 already recorded).
2026-09-23T13:24:59Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:25:28Z INFO [31/500] 0e7f9dd4-0280-471e-b6c8-83444216d162: cophenetic index 2923; 0.5 s; peak memory 103 MiB.
2026-09-23T13:25:29Z INFO [32/500] 0e7fe07d-349f-4c48-ae06-20736dbe286d: cophenetic index 33962; 0.9 s; peak memory 103 MiB.
2026-09-23T13:25:29Z INFO [33/500] 0e800c69-ca1a-4bd5-8c90-a9fa3ee8e1cb: cophenetic index 624; 0.5 s; peak memory 103 MiB.
2026-09-23T13:25:31Z INFO [34/500] 0e801d89-b98e-42db-88ff-10f05442f796: cophenetic index 20245; 1.8 s; peak memory 103 MiB.
2026-09-23T13:25:34Z INFO [35/500] 0e806614-fa68-4c1e-812b-fac8d68d52cb: cophenetic index 132839; 3.6 s; peak memory 103 MiB.
2026-09-23T13:25:35Z INFO [36/500] 0e81aa5a-df84-4162-aeed-3a47a3acafa1: cophenetic index 624; 0.5 s; peak memory 103 MiB.
2026-09-23T13:25:36Z INFO [37/500] 0e81deb8-0f28-4287-8cf6-c42048f7a299: cophenetic index 5473; 1.5 s; peak memory 103 MiB.
2026-09-23T13:25:38Z INFO [38/500] 0e81fd75-e976-4824-b5d5-2c68d1e911b1: cophenetic index 2521; 1.3 s; peak memory 103 MiB.
2026-09-23T13:25:38Z INFO [39/500] 0e82391e-c0e6-4207-8660-661ccd07e5b1: cophenetic index 3004; 0.7 s; peak memory 103 MiB.
2026-09-23T13:25:40Z INFO [40/500] 0e833a04-69da-427b-a537-588474d531f7: cophenetic index 2609; 1.3 s; peak memory 103 MiB.
2026-09-23T13:25:40Z INFO [41/500] 0e83c927-a40c-4338-9b36-800146a13213: cophenetic index 3004; 0.6 s; peak memory 103 MiB.
2026-09-23T13:25:41Z INFO [42/500] 0e83f38d-a2cc-491e-a871-6b4952e58bef: cophenetic index 497; 0.6 s; peak memory 103 MiB.
2026-09-23T13:25:42Z INFO [43/500] 0e845acc-e00c-487d-b018-1c89f2b31582: cophenetic index 2625; 0.9 s; peak memory 103 MiB.
2026-09-23T13:25:44Z INFO [44/500] 0e858d7a-dc61-43a8-a722-356dfb77a759: cophenetic index 87573; 2.4 s; peak memory 103 MiB.
2026-09-23T13:25:45Z INFO [45/500] 0e85af79-d21e-4014-b0aa-200ad9679ca3: cophenetic index 13320; 1.0 s; peak memory 103 MiB.
2026-09-23T13:25:46Z INFO [46/500] 0e85c4cf-f480-44ed-a490-e59ee726a84d: cophenetic index 624; 0.6 s; peak memory 103 MiB.
2026-09-23T13:25:46Z INFO [47/500] 0e85c5e1-efb0-4ce4-a8f3-c544b22fb6a9: cophenetic index 23864; 0.6 s; peak memory 103 MiB.
2026-09-23T13:25:47Z INFO [48/500] 0e86d575-29a4-4e47-a375-568d62c2face: cophenetic index 649; 0.5 s; peak memory 103 MiB.
2026-09-23T13:25:47Z INFO [49/500] 0e879a8b-0c71-4722-88a0-83b18aaef08e: cophenetic index 624; 0.6 s; peak memory 103 MiB.
2026-09-23T13:25:48Z INFO [50/500] 0e87e458-a313-44cd-b69a-425fa89cd13d: cophenetic index 793; 0.9 s; peak memory 103 MiB.
2026-09-23T13:25:48Z INFO [50/500] 0e87e458-a313-44cd-b69a-425fa89cd13d: checkpointed 53039 records.
2026-09-23T13:25:49Z INFO [51/500] 0e885abb-8177-4ed3-9510-825057d83f7c: cophenetic index 739; 0.3 s; peak memory 103 MiB.
2026-09-23T13:25:49Z INFO [52/500] 0e88a63b-db59-499e-baec-805cea1083dd: cophenetic index 624; 0.4 s; peak memory 104 MiB.
2026-09-23T13:25:50Z INFO [53/500] 0e892dfe-bfb4-4e45-9f4a-11cbe5f2a547: cophenetic index 788; 0.7 s; peak memory 104 MiB.
2026-09-23T13:25:51Z INFO [54/500] 0e896f8d-51a3-4c93-b07d-cc93b7733d01: cophenetic index 624; 0.6 s; peak memory 104 MiB.
2026-09-23T13:25:55Z INFO [55/500] 0e8baa3c-dffd-47a0-8c78-3609037d04d8: cophenetic index 6715; 4.1 s; peak memory 104 MiB.
2026-09-23T13:25:56Z INFO [56/500] 0e8bf43c-01a5-4ce2-b34d-8ea1b187f34b: cophenetic index 2625; 1.0 s; peak memory 104 MiB.
2026-09-23T13:25:57Z INFO [57/500] 0e8c44e0-7b5e-4926-9f4e-f0ff70235149: cophenetic index 99114; 1.1 s; peak memory 104 MiB.
2026-09-23T13:26:00Z INFO [58/500] 0e8ce425-d4f8-4d49-aa02-67da73056a82: cophenetic index 36676; 2.8 s; peak memory 104 MiB.
2026-09-23T13:26:03Z INFO [59/500] 0e8d280a-60e0-484a-a68d-06acd07c7b35: cophenetic index 9548; 3.0 s; peak memory 104 MiB.
2026-09-23T13:26:03Z INFO [60/500] 0e8d3c43-a1e8-445f-809c-2a3e55f4a8d2: cophenetic index 490; 0.3 s; peak memory 104 MiB.
2026-09-23T13:26:04Z INFO [61/500] 0e8d657e-b980-4e65-a9d0-45f56e42b1c7: cophenetic index 33998; 0.9 s; peak memory 104 MiB.
2026-09-23T13:26:05Z INFO [62/500] 0e8d816d-49d8-413d-b056-539af2a28ef7: cophenetic index 3087; 0.7 s; peak memory 104 MiB.
2026-09-23T13:26:05Z INFO [63/500] 0e8e15dd-4e12-4b7e-95bc-e75c3543a499: cophenetic index 3004; 0.6 s; peak memory 104 MiB.
2026-09-23T13:26:05Z INFO [64/500] 0e8e180f-ffac-4fd4-8743-d3747cf71e15: cophenetic index 401; 0.3 s; peak memory 104 MiB.
2026-09-23T13:26:06Z INFO [65/500] 0e8ec59f-e87a-40d5-8956-3d34648c5bab: cophenetic index 560; 0.4 s; peak memory 104 MiB.
2026-09-23T13:26:07Z INFO [66/500] 0e8efa33-b2b4-4536-a37e-7f4f9fa781e7: cophenetic index 2053; 0.9 s; peak memory 104 MiB.
2026-09-23T13:26:08Z INFO [67/500] 0e8f5aee-27d4-4f1e-9df6-b0de8210fbbc: cophenetic index 2682; 1.3 s; peak memory 104 MiB.
2026-09-23T13:26:09Z INFO [68/500] 0e900050-0b25-4b23-9e96-e3f591ff2e3e: cophenetic index 624; 0.6 s; peak memory 104 MiB.
2026-09-23T13:26:09Z INFO [69/500] 0e907aa2-c09d-45f2-a37f-51f8d132101d: cophenetic index 3004; 0.8 s; peak memory 104 MiB.
2026-09-23T13:26:39Z INFO [70/500] 0e908fb4-da1d-4dc7-ade0-2a997121f7a6: cophenetic index 1213872; 29.1 s; peak memory 171 MiB.
2026-09-23T13:26:39Z INFO [71/500] 0e909350-8279-48c1-aa48-5c485ed26d77: cophenetic index 3087; 0.5 s; peak memory 171 MiB.
2026-09-23T13:26:40Z INFO [72/500] 0e90c350-c8cd-43be-9561-d0d659b40be5: cophenetic index 2974; 0.6 s; peak memory 171 MiB.
2026-09-23T13:26:40Z INFO [73/500] 0e922ffb-4e2b-4575-8fd7-ea75d642c101: cophenetic index 624; 0.6 s; peak memory 171 MiB.
2026-09-23T13:26:41Z INFO [74/500] 0e929707-5357-47cb-b1ff-4ac49b0159d1: cophenetic index 3087; 0.5 s; peak memory 171 MiB.
2026-09-23T13:26:42Z INFO [75/500] 0e93ab4f-56d7-4f1b-891f-78e0b0c61f0c: cophenetic index 8123; 1.5 s; peak memory 171 MiB.
2026-09-23T13:26:43Z INFO [76/500] 0e93b74f-0414-45af-92dc-a3fcd6e6b1e5: cophenetic index 624; 0.6 s; peak memory 171 MiB.
2026-09-23T13:26:44Z INFO [77/500] 0e93f22c-b98d-4f42-8144-a004fe858f4c: cophenetic index 624; 0.6 s; peak memory 171 MiB.
2026-09-23T13:26:49Z INFO [78/500] 0e940dde-319b-44b9-8bbf-f37caaa13fb2: cophenetic index 498307; 5.4 s; peak memory 171 MiB.
2026-09-23T13:26:49Z INFO [79/500] 0e9439e4-e5cc-4950-bdc3-c416bddb4b93: cophenetic index 646; 0.5 s; peak memory 171 MiB.
2026-09-23T13:26:53Z INFO [80/500] 0e947a4f-cc15-4057-a98f-30832fb88e31: cophenetic index 86405; 3.4 s; peak memory 171 MiB.
2026-09-23T13:26:54Z INFO [81/500] 0e9486af-fc3f-42f3-9a60-de8bb6edd986: cophenetic index 33998; 1.1 s; peak memory 171 MiB.
2026-09-23T13:26:54Z INFO [82/500] 0e948d5f-ca44-4448-a60b-c59178c553ef: cophenetic index 624; 0.4 s; peak memory 171 MiB.
2026-09-23T13:26:55Z INFO [83/500] 0e950451-0fd3-4c7e-9251-4d93f452ad33: cophenetic index 33986; 0.7 s; peak memory 171 MiB.
2026-09-23T13:26:56Z INFO [84/500] 0e95be0b-07cd-4561-a705-5c2fbe58c0cd: cophenetic index 911; 0.6 s; peak memory 171 MiB.
2026-09-23T13:26:57Z INFO [85/500] 0e95bf93-3cb8-4a2a-984f-c86c6c643c10: cophenetic index 3045; 1.0 s; peak memory 171 MiB.
2026-09-23T13:26:57Z INFO [86/500] 0e96e6f2-d710-4d05-bacc-c592ac117b89: cophenetic index 581; 0.4 s; peak memory 171 MiB.
2026-09-23T13:26:58Z INFO [87/500] 0e974237-fbdf-4a9b-85de-faa1d0b51c2e: cophenetic index 3087; 0.6 s; peak memory 171 MiB.
2026-09-23T13:26:58Z INFO [88/500] 0e977228-b834-4302-a9af-4b409e321a5f: cophenetic index 624; 0.5 s; peak memory 171 MiB.
2026-09-23T13:26:59Z INFO [89/500] 0e977a78-c696-4fd2-98e5-5f1f0697df4f: cophenetic index 608; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:00Z INFO [90/500] 0e97b682-d106-4a8c-ba9e-62e36bc159e5: cophenetic index 3087; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:08Z INFO [91/500] 0e98599c-ecf8-400c-8060-70e4194bf372: cophenetic index 32595729; 8.1 s; peak memory 171 MiB.
2026-09-23T13:27:08Z INFO [92/500] 0e987480-9ecb-47ff-bdc7-f37b04d37bda: cophenetic index 624; 0.5 s; peak memory 171 MiB.
2026-09-23T13:27:11Z INFO [93/500] 0e98db92-fb8d-4c48-8839-81d871d727f4: cophenetic index 71659; 3.3 s; peak memory 171 MiB.
