2026-09-19T12:19:56Z INFO Logging to /tmp/logs/update_2026-09-19T12-19-56Z.log.
2026-09-19T12:19:56Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-19T12:19:56Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:19:58Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:22:20Z INFO [61/500] 063a8c80-e733-4305-9c05-db0467ffcc99: cophenetic index 3004; 1.4 s; peak memory 115 MiB.
2026-09-19T12:22:22Z INFO [62/500] 063ba6dd-fe93-4b62-8e78-c36caa3f218b: cophenetic index 2682; 2.2 s; peak memory 115 MiB.
2026-09-19T12:22:23Z INFO [63/500] 063c4615-8a8d-4fc8-a63e-240e2783e295: cophenetic index 431; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:24Z INFO [64/500] 063c539f-e7ac-4a23-8509-831139a2e7aa: cophenetic index 490; 1.0 s; peak memory 115 MiB.
2026-09-19T12:22:25Z INFO [65/500] 063cc827-28ea-4b8f-b60a-0925d7a3c9c0: cophenetic index 3004; 1.3 s; peak memory 115 MiB.
2026-09-19T12:22:26Z INFO [66/500] 063cf5f9-3060-4f93-956a-3758b97797f7: cophenetic index 624; 1.0 s; peak memory 115 MiB.
2026-09-19T12:22:28Z INFO [67/500] 063daf21-7649-4d6f-b61c-d421bbce6b90: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:29Z INFO [68/500] 063ddba6-d815-4ebf-a07a-c334e322c0df: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:30Z INFO [69/500] 063e1010-251a-476e-a3b9-b14dcb4ccd92: cophenetic index 2974; 1.3 s; peak memory 115 MiB.
2026-09-19T12:22:31Z INFO [70/500] 063e7b14-8011-4c1a-bdbe-163e714b6c78: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:33Z INFO [71/500] 063e8b6d-9ed4-47c3-94fe-7ef7fcf89f94: cophenetic index 33998; 1.7 s; peak memory 115 MiB.
2026-09-19T12:22:34Z INFO [72/500] 063eafa6-d6e0-4a75-b654-2ef6924c4ab2: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:38Z INFO [73/500] 063ef5b0-df31-494a-88d2-e4665f208cd2: cophenetic index 8258; 3.6 s; peak memory 115 MiB.
2026-09-19T12:22:39Z INFO [74/500] 063f3c9e-b441-4710-abb7-4f78f160720a: cophenetic index 448; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:40Z INFO [75/500] 063fac7e-cfb6-43de-9a93-477f040a81f0: cophenetic index 494; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:41Z INFO [76/500] 06411428-d49b-494e-a33f-5b8ead0f02da: cophenetic index 2974; 1.2 s; peak memory 115 MiB.
2026-09-19T12:22:43Z INFO [77/500] 06413f8e-7534-471c-9008-054680bd8a03: cophenetic index 23510; 1.5 s; peak memory 115 MiB.
2026-09-19T12:22:44Z INFO [78/500] 0642dc4e-05bf-4e95-b6ca-010a00c50995: cophenetic index 3004; 1.5 s; peak memory 115 MiB.
2026-09-19T12:22:45Z INFO [79/500] 0642eb8f-e6c5-4939-8627-7c1084227514: cophenetic index 603; 1.0 s; peak memory 115 MiB.
2026-09-19T12:22:55Z INFO [80/500] 0642f605-fec4-4c29-affe-a5f1f451b213: cophenetic index 180954; 10.0 s; peak memory 115 MiB.
2026-09-19T12:22:56Z INFO [81/500] 06430d9f-df19-4688-8739-081a2acd8a9a: cophenetic index 624; 1.1 s; peak memory 115 MiB.
2026-09-19T12:22:58Z INFO [82/500] 064321e5-c412-4725-9e4e-713c4d5b1acd: cophenetic index 33998; 1.9 s; peak memory 115 MiB.
2026-09-19T12:23:00Z INFO [83/500] 0643c4de-a3fd-469a-ae47-1d2d9cd4edef: cophenetic index 3087; 1.4 s; peak memory 115 MiB.
2026-09-19T12:23:01Z INFO [84/500] 0645ce8b-6b59-469a-82d4-d69346661ccf: cophenetic index 3004; 1.3 s; peak memory 115 MiB.
2026-09-19T12:23:03Z INFO [85/500] 06465edb-98c8-4045-9ec1-def68b90023e: cophenetic index 2682; 2.5 s; peak memory 115 MiB.
2026-09-19T12:23:05Z INFO [86/500] 064860df-570c-4227-9b54-f865d0c5a4b0: cophenetic index 33998; 1.9 s; peak memory 115 MiB.
